	rank	edu	经验	薪水	时间	职称	公司地点	公司名称	链结	公司URL	i	tag_display	keyword	curPage
0	1	本科及以上	3-5年	面议	2020年04月25日	15851-开放世界创新手游UE4开发工程师(深圳)	深圳	腾讯	https://www.liepin.com/job/1927657345.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
1	2	本科及以上	3-5年	面议	2020年04月25日	美团地图服务部-地图前端产品经理（用户体验）		美团点评	https://www.liepin.com/job/1927634835.shtml	https://www.liepin.com/company/2036768/	158	上市公司	交互设计	2
2	3	本科及以上	5-10年	面议	2020年04月25日	60557-15614-UE4手游客户端开发（上海）	上海	腾讯	https://www.liepin.com/job/1927657299.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
3	4	本科及以上	5-10年	面议	2020年04月25日	15605-UE4游戏客户端高级开发工程师（深圳）	深圳	腾讯	https://www.liepin.com/job/1927141609.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
4	5	本科及以上	5-10年	面议	2020年04月25日	15605-UE4游戏客户端高级开发工程师（上海）	上海	腾讯	https://www.liepin.com/job/1925128047.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
5	6	本科及以上	1-3年	面议	2020年04月25日	15571-UE4大世界射击手游后台开发（深圳）	深圳	腾讯	https://www.liepin.com/job/1927740435.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
6	7	本科及以上	3-5年	面议	2020年04月25日	60111-18302-UE4大世界MMO-高级文学策划	深圳	腾讯	https://www.liepin.com/job/1927374315.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
7	8	本科及以上	5-10年	面议	2020年04月25日	18302-UE4大世界动作手游资深TA（深圳）	深圳	腾讯	https://www.liepin.com/job/1927130243.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
8	9	本科及以上	3-5年	面议	2020年04月25日	15605-新手游UE4客户端开发工程师（深圳）	深圳	腾讯	https://www.liepin.com/job/1926828561.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
9	10	本科及以上	3-5年	10-15k·12薪	2020年04月24日	用户体验培训师	厦门-湖里区	NIO蔚来	https://www.liepin.com/job/1927511959.shtml	https://www.liepin.com/company/8524725/	158	上市公司	交互设计	2
10	11	本科及以上	3-5年	10-20k·12薪	2020年04月24日	用户体验设计师—视觉设计方向		小米	https://www.liepin.com/job/1925150793.shtml	https://www.liepin.com/company/2174886/	158	上市公司	交互设计	2
11	12	本科及以上	经验不限	面议	2020年04月24日	UE4引擎开发工程师	广州	网易集团	https://www.liepin.com/job/1926484341.shtml	https://www.liepin.com/company/5964833/	158	上市公司	交互设计	2
12	13	本科及以上	5-10年	面议	2020年04月25日	18302-UE4大世界ARPG手游资深3D角色设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1925590135.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
13	14	本科及以上	3-5年	面议	2020年04月25日	18302-国际IP新手游-UE4高级3D特效师 （深圳）	深圳	腾讯	https://www.liepin.com/job/1924990213.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
14	15	大专及以上	5-10年	面议	2020年04月25日	18302-UE4大世界手游资深3D特效设计师（深圳）	深圳	腾讯	https://www.liepin.com/job/1925590129.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
15	16	本科及以上	5-10年	面议	2020年04月25日	15573-3A开放世界RPG手游UE4引擎高级工程师（上海）	上海	腾讯	https://www.liepin.com/job/1925829305.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
16	17	本科及以上	5-10年	面议	2020年04月25日	18302-UE4大世界资深角色原画设计师_怪物方向（深圳）	深圳	腾讯	https://www.liepin.com/job/1925590137.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
17	18	本科及以上	5-10年	面议	2020年04月25日	15571-高级游戏引擎开发工程师 （ UE4图形底层方向）（深圳）	深圳	腾讯	https://www.liepin.com/job/1924306869.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
18	19	学历不限	经验不限	20-40k·15薪	2020年04月24日	高级产品经理（用户体验）	广州	网易集团	https://www.liepin.com/job/1927491871.shtml	https://www.liepin.com/company/5964833/	158	上市公司	交互设计	2
19	20	统招本科	5-10年	10-20k·12薪	2020年04月24日	3D动作-用户体验中心	杭州-滨江区	网易集团	https://www.liepin.com/job/1926977369.shtml	https://www.liepin.com/company/5964833/	158	上市公司	交互设计	2
20	21	本科及以上	3-5年	面议	2020年04月24日	用户体验提升高级经理-手机业务		京东商城	https://www.liepin.com/job/1926946015.shtml	https://www.liepin.com/company/9747025/	158	上市公司	交互设计	2
21	22	本科及以上	10年以上	面议	2020年04月24日	用户体验中心总经理（含客服）	南京	苏宁易购	https://www.liepin.com/job/1927027049.shtml	https://www.liepin.com/company/2051657/	158	上市公司	交互设计	2
22	23	本科及以上	3-5年	面议	2020年04月25日	15605-《航海王》IP动作游戏UE4引擎开发工程师（深圳）	深圳	腾讯	https://www.liepin.com/job/1926238773.shtml	https://www.liepin.com/company/7983148/	158	上市公司	交互设计	2
